GST ID,LAT,LON,SHIFT DATE,,
e001,-33.91645602,151.1557145,2021-10-14,,
e002,-33.91645602,151.1557145,2021-10-14,,
e003,-33.79934722,151.2100855,2021-10-14,,
e004,-33.79934722,151.2100855,2021-10-14,,
e005,-33.84342179,150.9474746,2021-10-14,,
e006,-33.84342179,150.9474746,2021-10-14,,
e001,-33.91645602,151.1557145,2021-10-15,,
e002,-33.91645602,151.1557145,2021-10-15,,
e003,-33.79934722,151.2100855,2021-10-15,,
e004,-33.79934722,151.2100855,2021-10-15,,
e005,-33.84342179,150.9474746,2021-10-15,,
e006,-33.84342179,150.9474746,2021-10-15,,
e001,-33.91645602,151.1557145,2021-10-16,,
e002,-33.91645602,151.1557145,2021-10-16,,
e003,-33.79934722,151.2100855,2021-10-16,,
e004,-33.79934722,151.2100855,2021-10-16,,
e005,-33.84342179,150.9474746,2021-10-16,,
e006,-33.84342179,150.9474746,2021-10-16,,
e001,-33.91645602,151.1557145,2021-10-17,,
e002,-33.91645602,151.1557145,2021-10-17,,
e003,-33.79934722,151.2100855,2021-10-17,,
e004,-33.79934722,151.2100855,2021-10-17,,
e005,-33.84342179,150.9474746,2021-10-17,,
e006,-33.84342179,150.9474746,2021-10-17,,
e001,-33.91645602,151.1557145,2021-10-18,,
e002,-33.91645602,151.1557145,2021-10-18,,
e003,-33.79934722,151.2100855,2021-10-18,,
e004,-33.79934722,151.2100855,2021-10-18,,
e005,-33.84342179,150.9474746,2021-10-18,,
e006,-33.84342179,150.9474746,2021-10-18,,
